hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
568,1804,142,sonhei que estava num role e ela chegou la com um cara e ficou mo de amorzinho com ele que sensacao horrivel pqp,cheg,chegou,chegado chegar chega chegou chegava,1
569,2492,142,sonhei q meu pai chegava de viagem e acordei chorano,cheg,chegava,chegado chegar chega chegou chegava,1
570,3113,142,sonhei q tava pedindo desculpa por chegar atrasada no trampo eu tava na minha casa dormindo,cheg,chegar,chegado chegar chega chegou chegava,1
571,3445,142,sonhei que a minha viagem tinha chegado cjega logo de novwmbro,cheg,chegado,chegado chegar chega chegou chegava,1
572,3500,142,sonhei q eu tinha acordado tarde e ia chegar atrasada no jogo de amanha,cheg,chegar,chegado chegar chega chegou chegava,1
573,3550,142,sonhei q o meu album tinha chegado,cheg,chegado,chegado chegar chega chegou chegava,1
574,3825,142,eu sonhei que ja tava no universo chega logo dezembro,cheg,chega,chegado chegar chega chegou chegava,1
575,3846,142,sonhei que encontrava a vic em um show e nao consiga chegar nela bom dia pra quem,cheg,chegar,chegado chegar chega chegou chegava,1
73,2844,374,sonhei que a araujo me vendia cigarro no romero serio que eu nao tinha nada mais aleatorio pra sonhar,cigarro,cigarro,cigarro,1
1731,881,386,sonhei com o menino mais nada a ver hj a gente tava comprando cigarro de saborzinho pelo menos,cigarro,cigarro,cigarro,1
576,1579,252,sonhei que ia ver um filme com uma galera desconhecida e claro sonhei quase todo o filme isso acontece com voces claro que de nada lembro so sensacoes e algumas imagens mas era em duas partes acordei antes da segunda,filme,filme,filme,1
577,1835,252,sonhei com ela isso e um sinal sim ou claro,clar,claro,claro claramente clara claros,1
578,2375,252,sonhei a noite toda que tava numa viagem pela franca claramente sonho mesmo pq nao tenho per pectiva alguma de viajar pra fora assim,clar,claramente,claro claramente clara claros,1
579,2974,252,sonhei que eu tinha o olho claro igualzinho o do meu pai eu seria um nojo deus nao da asa a cobra nunca,clar,claro,claro claramente clara claros,1
580,3086,252,sonhei com muita cobra e mesmo estando desesperada pedindo ajuda ninguem botava fe e diziam que era exagero acho que o universo ta tentando me passar um sinal muito claro,clar,claro,claro claramente clara claros,1
581,3509,252,sonhei que a maria clara tava gravida e nasceu uma menininha tao lindinha chamada grace nao sei pq esse sonho tava tao nitido parecia ate de verdade,clar,clara,claro claramente clara claros,1
582,3519,252,eu sonhei com olhos claros,clar,claros,claro claramente clara claros,1
585,33,26,sonhei com cobra ontem e hoje vim pra fazenda,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
586,169,26,sonhei com cobra essa noite,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
587,477,26,sonhei com filhote de cobra coral,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
588,502,26,sonhei cm varias cobras,cobra,cobras,aranha cobra cobras cobrei descobrir descobrirei,1
589,800,26,eu sonhei que o douglas estava de papinho com o e cobrei ele ontem eu to assim slc,cobra,cobrei,aranha cobra cobras cobrei descobrir descobrirei,1
590,1008,26,sonhei com ninhada de cobra,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
591,1373,26,sonhei com cobra quem sera que vai ser falso ou me trair ansiosa estou para saber,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
592,1420,26,sonhei que uma cobra mordeu meu pinto que viagem,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
593,1507,26,sonhei com cobra amarela e o google me deu varias alternativas,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
594,1749,26,sonhei com cobra mano inacreditavel,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
595,2073,26,sonhei que matei uma cobra em partes e mesmo assim queria me atacar dei so na cabeca e depois falei que talvez a carne seria boa meu deus quando eu sonho com cobra e certeiro que deus me proteja smp,cobra,cobra cobra,aranha cobra cobras cobrei descobrir descobrirei,1
596,2144,26,sonhei com cobra ta repreendido,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
597,2213,26,sonhei com cobra essa noite e voces sabem o que significa sonhar com cobra ne,cobra,cobra cobra,aranha cobra cobras cobrei descobrir descobrirei,1
598,2252,26,sonhei com cobra alguma coisa tem,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
599,2292,26,eu sonhei com cobras uma eu ja sei quem e falta descobrir quem sao as outras duas,cobra,cobras descobrir,aranha cobra cobras cobrei descobrir descobrirei,1
600,2686,26,sonhei com cobra essa noite em breve descobrirei quem esta sendo falso cmg,cobra,cobra descobrirei,aranha cobra cobras cobrei descobrir descobrirei,1
601,2835,26,sonhei com cobra e quem sera o judas em,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
602,2836,26,sonhei com cobra e sapo acordei toda desconfiada,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
603,2869,26,sonhei que tava saindo da igreja e tinha uma cobra gigante vermelha e preta no meio de uma arvore eu comei falar gente sai de perto olha a cobra olha tamanho meu deus e ninguem via alguma amiga que tava comigo comecou rodear arvore pra tentar ver e a cobra comeu ela,cobra,cobra cobra cobra,aranha cobra cobras cobrei descobrir descobrirei,1
604,2951,26,sonhei c mt cobra senhorr,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
605,2968,26,sonhei com cobra essa noite,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
606,3413,26,sonhei com cobra viu bora quem e,cobra,cobra,aranha cobra cobras cobrei descobrir descobrirei,1
1699,2922,375,sonhei com cobra to com medo agora,cobra,cobra,cobra,1
1701,3226,375,sonhei com cobra a noite inteira medo,cobra,cobra,cobra,1
607,945,482,sonhei que tomava um copao de coca cola gelada que so e no fim do copo lembrava que tava sem coca ha mais de anos e ficava triste,col,cola,cola colou colado colo colocou colar colava,1
608,1566,482,sonhei que o ff ia tocar no vaca amarela e o dave tava de boa com geral colou com minha galera e ficou dando role com a gente,col,colou,cola colou colado colo colocou colar colava,1
